sku,title,product_type,size,images,total_price,sale_price,for_year_old,country_TM,classification,delivery,group_prod,color,shipping_class
9581,Anti-hair loss shampoo for fine hair,simple,250ml,https://u.makeup.com.ua/i/iu/iusu9etfdhs6.jpg|https://u.makeup.com.ua/5/5w/5wve7bvozszc.jpg|https://u.makeup.com.ua/3/3z/3zuqxdxskdv7.jpg|https://u.makeup.com.ua/u/u4/u491c25th3v9.jpg,306,267,18+,Italy,professional,local warehouse,Collistar Anti-Hair Loss Revitalizing Shampoo with Trichogen,,shipping_class_1
520143,Givenchy Gentleman 2017,simple,150ml,https://u.makeup.com.ua/p/p2/p20p0sqtf8yh.jpg|https://u.makeup.com.ua/t/tt/ttcgi9xq6vto.jpg,797,638,16+,France,elite,local warehouse,Hair and body wash gel,,shipping_class_1
1403811,"Shampoo ""Rose"" for normal hair",variable,250ml,https://u.makeup.com.ua/j/jq/jqiiuupgzxic.jpg|https://u.makeup.com.ua/q/qp/qprhgzw0h9hl.jpg|https://u.makeup.com.ua/e/ef/efkeslgno3zl.jpg|https://u.makeup.com.ua/x/xj/xjzjniqprjdj.jpg,223,193,18+,Denmark,organic,local warehouse,Urtekram Rose Shampoo Normal Hair,,shipping_class_1
1403812,"Shampoo ""Rose"" for normal hair",variable,1000ml,https://u.makeup.com.ua/j/jq/jqiiuupgzxic.jpg|https://u.makeup.com.ua/q/qp/qprhgzw0h9hl.jpg|https://u.makeup.com.ua/e/ef/efkeslgno3zl.jpg|https://u.makeup.com.ua/x/xj/xjzjniqprjdj.jpg,793,,18+,Denmark,organic,local warehouse,Urtekram Rose Shampoo Normal Hair,,shipping_class_2
280483,Soothing light shampoo apple-almond,variable,25ml,https://u.makeup.com.ua/i/id/id8cv1ldvhss.jpg|https://u.makeup.com.ua/7/77/7710d7gjxgzt.jpg|https://u.makeup.com.ua/k/k2/k2nfn6fekaps.jpg|https://u.makeup.com.ua/3/3p/3ptxpqwupnua.jpg|https://u.makeup.com.ua/r/rn/rnjoxalnl1bn.jpg,115,,3+,France,organic,local warehouse,TOOFRUIT Kapidoux Dermo-Soothing Shampoo,,shipping_class_1
280484,Soothing light shampoo apple-almond,variable,200ml,https://u.makeup.com.ua/i/id/id8cv1ldvhss.jpg|https://u.makeup.com.ua/7/77/7710d7gjxgzt.jpg|https://u.makeup.com.ua/k/k2/k2nfn6fekaps.jpg|https://u.makeup.com.ua/3/3p/3ptxpqwupnua.jpg|https://u.makeup.com.ua/r/rn/rnjoxalnl1bn.jpg,435,,3+,France,organic,local warehouse,TOOFRUIT Kapidoux Dermo-Soothing Shampoo,,shipping_class_1
280485,Soothing light shampoo apple-almond,variable,400ml,https://u.makeup.com.ua/i/id/id8cv1ldvhss.jpg|https://u.makeup.com.ua/7/77/7710d7gjxgzt.jpg|https://u.makeup.com.ua/k/k2/k2nfn6fekaps.jpg|https://u.makeup.com.ua/3/3p/3ptxpqwupnua.jpg|https://u.makeup.com.ua/r/rn/rnjoxalnl1bn.jpg,765,,3+,France,organic,local warehouse,TOOFRUIT Kapidoux Dermo-Soothing Shampoo,,shipping_class_1
280486,Soothing light shampoo apple-almond,variable,400ml,https://u.makeup.com.ua/i/id/id8cv1ldvhss.jpg|https://u.makeup.com.ua/7/77/7710d7gjxgzt.jpg|https://u.makeup.com.ua/k/k2/k2nfn6fekaps.jpg|https://u.makeup.com.ua/3/3p/3ptxpqwupnua.jpg|https://u.makeup.com.ua/r/rn/rnjoxalnl1bn.jpg,623,,3+,France,organic,from EU,TOOFRUIT Kapidoux Dermo-Soothing Shampoo,,shipping_class_1
1554011,"Herbal shampoo, anti-hair loss for oily hair",variable,300ml,https://u.makeup.com.ua/y/yz/yz5paqlgspy9.jpg|https://u.makeup.com.ua/s/sr/srczhqu0l5ff.jpg|https://u.makeup.com.ua/d/dq/dquglpkvy6ix.jpg|https://u.makeup.com.ua/s/sk/skxf8mdewfql.jpg,413,,18+,Turkey,pharmacy,local warehouse,Biota Bioxsine Shampoo,,shipping_class_1
1554012,"Herbal shampoo, anti-hair loss for oily hair",variable,300ml,https://u.makeup.com.ua/y/yz/yz5paqlgspy9.jpg|https://u.makeup.com.ua/s/sr/srczhqu0l5ff.jpg|https://u.makeup.com.ua/d/dq/dquglpkvy6ix.jpg|https://u.makeup.com.ua/s/sk/skxf8mdewfql.jpg,413,392,18+,Turkey,pharmacy,from EU,Biota Bioxsine Shampoo,,shipping_class_1
8599391,Natural coconut oil for hair and body,variable,20ml,https://u.makeup.com.ua/2/2d/2d81bvltwfzp.jpg|https://u.makeup.com.ua/a/at/atmsdzlha6b2.jpg|https://u.makeup.com.ua/d/dx/dxuqt2qapwpi.jpg|https://u.makeup.com.ua/z/z9/z9rsiwndh8wy.jpg,54,49,18+,Ukraine,natural,local warehouse,Botanioteka Coconut Oil Extra Virgin,,shipping_class_1
8599392,Natural coconut oil for hair and body,variable,120ml,https://u.makeup.com.ua/2/2d/2d81bvltwfzp.jpg|https://u.makeup.com.ua/a/at/atmsdzlha6b2.jpg|https://u.makeup.com.ua/d/dx/dxuqt2qapwpi.jpg|https://u.makeup.com.ua/z/z9/z9rsiwndh8wy.jpg,188,169,18+,Ukraine,natural,local warehouse,Botanioteka Coconut Oil Extra Virgin,,shipping_class_1
552607,Natural avocado oil,simple,50ml,https://u.makeup.com.ua/s/s5/s5gfsy3yzox8.jpg,75,53,18+,Ukraine,natural,local warehouse,Mayur,,shipping_class_1
6122671,Tinting paint,variable,60ml,https://u.makeup.com.ua/n/nx/nxqunegyid39.jpg|https://u.makeup.com.ua/n/nx/nxqunegyid39.jpg|https://u.makeup.com.ua/t/ts/ts4phqytqx7p.jpg|https://u.makeup.com.ua/k/kx/kxh3t2nbe8aa.jpg,348,195,18+,Germany,professional,local warehouse,Alcina Color Creme Intensiv-Tonung,7.44 - Central blonde intensive copper,shipping_class_1
6122672,Tinting paint,variable,60ml,https://u.makeup.com.ua/n/nx/nxqunegyid39.jpg|https://u.makeup.com.ua/n/nx/nxqunegyid39.jpg|https://u.makeup.com.ua/t/ts/ts4phqytqx7p.jpg|https://u.makeup.com.ua/k/kx/kxh3t2nbe8aa.jpg,348,231,18+,Germany,professional,local warehouse,Alcina Color Creme Intensiv-Tonung,9.0 - Light Blond,shipping_class_1
6122673,Tinting paint,variable,60ml,https://u.makeup.com.ua/n/nx/nxqunegyid39.jpg|https://u.makeup.com.ua/n/nx/nxqunegyid39.jpg|https://u.makeup.com.ua/t/ts/ts4phqytqx7p.jpg|https://u.makeup.com.ua/k/kx/kxh3t2nbe8aa.jpg,348,207,18+,Germany,professional,local warehouse,Alcina Color Creme Intensiv-Tonung,10.6+ - hell-licht-blond violett plus,shipping_class_1
9367,Cream paint,simple,50ml,https://u.makeup.com.ua/x/x6/x65azbfouufr.jpg|https://u.makeup.com.ua/r/r9/r9ja8amkklv0.jpg|https://u.makeup.com.ua/z/zz/zzw8vjuni2pe.jpg|https://u.makeup.com.ua/b/bg/bgmauugijy5t.jpg,473,306,18+,France,professional,from EU,L'Oreal Professionnel Majirel/Majicontrast,Rouge,shipping_class_1
255117,Balm-lamination for all hair types,simple,380ml,https://u.makeup.com.ua/9/9s/9ss9bwkhq5zu.jpg|https://u.makeup.com.ua/o/o0/o0qampnynvlg.jpg|https://u.makeup.com.ua/t/tq/tqi2chkzryrq.jpg,115,,18+,Belarus,mass market,local warehouse,Bielita Smooth Sleek,,shipping_class_1
3660971,Shine balm for colored hair,variable,200ml,https://u.makeup.com.ua/r/rr/rr7xgdukeoqd.jpg|https://u.makeup.com.ua/w/wy/wybayjl4dxji.jpg|https://u.makeup.com.ua/x/xu/xuyq3433dsqu.jpg,260,,18+,Russia,professional,local warehouse,Estel Professional Otium Color Life Balm,,shipping_class_1
3660972,Shine balm for colored hair,variable,1000ml,https://u.makeup.com.ua/r/rr/rr7xgdukeoqd.jpg|https://u.makeup.com.ua/w/wy/wybayjl4dxji.jpg|https://u.makeup.com.ua/x/xu/xuyq3433dsqu.jpg,525,,18+,Russia,professional,local warehouse,Estel Professional Otium Color Life Balm,,shipping_class_2
